date,Wyoming,West Virginia,Oklahoma,Idaho,North Dakota,Vermont,Massachusetts,Hawaii,Maryland,California
7/21/20,2238,5199,26326,15899,5211,1366,114033,1396,80111,410366
7/22/20,2288,5461,27301,16395,5371,1366,114320,1413,80738,422528
7/23/20,2347,5550,27969,16862,5497,1377,114647,1468,81396,433175
7/24/20,2405,5695,29116,17411,5618,1385,114985,1526,82326,443096
7/25/20,2446,5821,30081,17920,5740,1396,115268,1597,83617,453327
7/26/20,2475,5960,31285,18262,5880,1400,115637,1660,84306,459338
7/27/20,2520,6054,32529,18836,5990,1402,115926,1688,85436,467103
7/28/20,2589,6173,33757,19318,6145,1405,116182,1734,86091,474951
7/29/20,2628,6326,34605,19810,6231,1406,116684,1842,86846,486039
7/30/20,2686,6422,35710,20378,6305,1407,117098,1966,87740,494269
7/31/20,2726,6642,36456,20853,6473,1414,117612,2088,88907,502273
8/1/20,2769,6735,37706,21231,6606,1421,118040,2174,89925,509507
8/2/20,2808,6854,38201,21465,6664,1426,118458,2219,90835,515937
8/3/20,2848,6973,38586,21838,6789,1427,118657,2425,91705,522235
8/4/20,2884,7051,39452,22357,6937,1431,119203,2568,92416,527258
8/5/20,2923,7159,40555,22854,7061,1436,119643,2740,93000,532776
8/6/20,2958,7277,41395,23510,7181,1445,119874,2891,93598,541013
8/7/20,3000,7433,42234,24073,7331,1448,120291,3092,94395,548142
8/8/20,3013,7563,43070,24593,7512,1454,120711,3323,95157,556158
8/9/20,3050,7694,43561,24797,7600,1459,121040,3475,96065,563244
8/10/20,3042,7754,43962,25267,7717,1462,121315,3615,96821,574267
8/11/20,3073,7875,44725,25767,7889,1472,121707,3733,97403,586078
8/12/20,3086,8008,45392,26280,7974,1478,122000,3935,97959,595097
8/13/20,3119,8151,46101,26814,8175,1484,122423,4289,98728,603212
8/14/20,3183,8274,46893,27312,8326,1501,122728,4520,99430,613243
8/15/20,3227,8457,47798,27620,8448,1509,123199,4802,100237,621981
8/16/20,3286,8564,48342,27794,8591,1515,123593,5019,100772,628508
8/17/20,3331,8632,48711,28113,8651,1527,123841,5192,101276,634991
8/18/20,3360,8731,49326,28486,8786,1530,124063,5326,101780,640499
8/19/20,3430,8801,49923,28829,8972,1533,124415,5586,102215,646742
8/20/20,3468,8982,50669,29252,9246,1537,124728,5821,102783,653401
8/21/20,3524,9066,51746,29510,9478,1541,125216,6049,103461,659991
8/22/20,3543,9185,52599,29808,9740,1553,125360,6333,104040,665325
8/23/20,3579,9272,53165,29973,9880,1557,125360,6577,104618,669944
8/24/20,3603,9312,53522,30260,10004,1566,126022,6746,105168,676236
8/25/20,3634,9395,54172,30648,10233,1572,126420,6961,105554,682320
8/26/20,3684,9540,54838,30968,10471,1577,126756,7236,105996,687612
8/27/20,3722,9633,55550,31326,10804,1586,127124,7542,106558,692962
8/28/20,3763,9824,56260,31643,11114,1589,127584,7806,107146,698389
8/29/20,3784,9967,57353,31874,11488,1605,128030,8115,107790,702499
8/30/20,3820,10110,58020,32034,11706,1616,128229,8315,108286,706589
8/31/20,3842,10250,58733,32256,11820,1624,128533,8447,108742,712541
9/1/20,3866,10507,59399,32703,12004,1635,128888,8628,109353,716628
9/2/20,3911,10642,60118,33059,12271,1637,121131,8966,109808,722035
9/3/20,3939,10845,61027,33361,12633,1637,121546,9177,110504,727398
9/4/20,3989,11037,62040,33628,12977,1642,121758,9448,111332,732691
9/5/20,4006,11289,63187,33884,13338,1647,122196,9667,112104,737073
9/6/20,4032,11412,63607,34053,13635,1648,122562,9829,112557,740233
9/7/20,4032,11575,64220,34153,13805,1651,122791,9933,113378,742689
9/8/20,4103,11661,65053,34461,13876,1654,122962,10130,113734,746113
