date,DNK,FIN,NOR,SWE
2020-10-26,708.0,354.0,279.0,5933.0
2020-10-27,709.0,354.0,280.0,5933.0
2020-10-28,715.0,354.0,280.0,5927.0
2020-10-29,716.0,354.0,281.0,5934.0
2020-10-30,719.0,358.0,282.0,5938.0
2020-10-31,721.0,358.0,282.0,5938.0
2020-11-01,723.0,358.0,282.0,5938.0
2020-11-02,724.0,359.0,282.0,5938.0
2020-11-03,728.0,359.0,282.0,5938.0
2020-11-04,729.0,361.0,282.0,5997.0
2020-11-05,733.0,361.0,284.0,6002.0
2020-11-06,738.0,362.0,285.0,6022.0
2020-11-07,740.0,362.0,285.0,6022.0
2020-11-08,743.0,362.0,285.0,6022.0
2020-11-09,747.0,363.0,285.0,6022.0
2020-11-10,750.0,363.0,285.0,6022.0
2020-11-11,753.0,365.0,285.0,6082.0
2020-11-12,755.0,365.0,291.0,6122.0
2020-11-13,756.0,369.0,294.0,6164.0
2020-11-14,757.0,369.0,294.0,6164.0
2020-11-15,760.0,369.0,294.0,6164.0
2020-11-16,764.0,371.0,294.0,6164.0
2020-11-17,768.0,371.0,298.0,6164.0
2020-11-18,770.0,374.0,300.0,6321.0
2020-11-19,773.0,374.0,305.0,6340.0
2020-11-20,778.0,375.0,306.0,6406.0
2020-11-21,781.0,375.0,306.0,6406.0
2020-11-22,784.0,375.0,306.0,6406.0
2020-11-23,789.0,384.0,311.0,6406.0
2020-11-24,797.0,384.0,314.0,6406.0
2020-11-25,802.0,388.0,316.0,6555.0
2020-11-26,811.0,388.0,316.0,6622.0
2020-11-27,816.0,393.0,328.0,6681.0
2020-11-28,823.0,393.0,328.0,6681.0
2020-11-29,829.0,393.0,328.0,6681.0
2020-11-30,837.0,399.0,332.0,6681.0
2020-12-01,846.0,399.0,334.0,6681.0
2020-12-02,852.0,408.0,351.0,6972.0
2020-12-03,858.0,408.0,353.0,7007.0
2020-12-04,867.0,408.0,354.0,7067.0
2020-12-05,878.0,415.0,354.0,7067.0
2020-12-06,885.0,415.0,354.0,7067.0
2020-12-07,894.0,424.0,359.0,7067.0
2020-12-08,901.0,424.0,361.0,7067.0
2020-12-09,904.0,433.0,361.0,7296.0
2020-12-10,918.0,442.0,382.0,7354.0
2020-12-11,927.0,453.0,387.0,7514.0
2020-12-12,935.0,453.0,387.0,7514.0
2020-12-13,941.0,453.0,387.0,7514.0
2020-12-14,950.0,461.0,393.0,7514.0
2020-12-15,961.0,466.0,395.0,7514.0
2020-12-16,975.0,472.0,402.0,7802.0
2020-12-17,992.0,484.0,404.0,7893.0
2020-12-18,1007.0,489.0,404.0,7993.0
2020-12-19,1019.0,489.0,404.0,7993.0
2020-12-20,1035.0,489.0,404.0,7993.0
2020-12-21,1053.0,506.0,405.0,7993.0
2020-12-22,1070.0,511.0,405.0,7993.0
2020-12-23,1096.0,524.0,421.0,8279.0
2020-12-24,1114.0,524.0,421.0,8279.0
2020-12-25,1134.0,524.0,421.0,8279.0
2020-12-26,1153.0,524.0,421.0,8279.0
2020-12-27,1174.0,524.0,421.0,8279.0
2020-12-28,1204.0,546.0,429.0,8279.0
2020-12-29,1226.0,550.0,433.0,8279.0
2020-12-30,1256.0,556.0,436.0,8727.0
2020-12-31,1298.0,561.0,436.0,8727.0
2021-01-01,1322.0,561.0,436.0,8727.0
2021-01-02,1345.0,561.0,436.0,8727.0
2021-01-03,1374.0,561.0,436.0,8727.0
2021-01-04,1389.0,565.0,449.0,8727.0
2021-01-05,1420.0,576.0,452.0,8965.0
2021-01-06,1451.0,576.0,465.0,8965.0
2021-01-07,1488.0,584.0,467.0,9262.0
2021-01-08,1518.0,586.0,472.0,9433.0
2021-01-09,1543.0,586.0,472.0,9433.0
2021-01-10,1571.0,586.0,472.0,9433.0
2021-01-11,1598.0,597.0,478.0,9433.0
2021-01-12,1624.0,602.0,482.0,9433.0
2021-01-13,1661.0,602.0,509.0,9834.0
2021-01-14,1661.0,616.0,511.0,10185.0
2021-01-15,1721.0,618.0,517.0,10323.0
2021-01-16,1748.0,618.0,517.0,10323.0
2021-01-17,1776.0,618.0,517.0,10323.0
2021-01-18,1806.0,618.0,521.0,10323.0
2021-01-19,1838.0,621.0,525.0,10323.0
2021-01-20,1873.0,632.0,543.0,10797.0
2021-01-21,1910.0,632.0,544.0,10921.0
2021-01-22,1942.0,644.0,544.0,11005.0
2021-01-23,1970.0,644.0,544.0,11005.0
2021-01-24,1984.0,644.0,544.0,11005.0
