date,Clark,King,Kitsap,Pierce,Snohomish,Spokane,Thurston,Yakima
2020-08-19,2332.0,18149.0,854.0,6922.0,6668.0,4860.0,884.0,11346.0
2020-08-20,2380.0,18332.0,870.0,6998.0,6714.0,4915.0,900.0,11392.0
2020-08-21,2387.0,18437.0,894.0,7062.0,6752.0,4949.0,909.0,11422.0
2020-08-22,2387.0,18589.0,913.0,7130.0,6752.0,4989.0,918.0,11459.0
2020-08-23,2387.0,18697.0,930.0,7197.0,6752.0,5018.0,924.0,11476.0
2020-08-24,2437.0,18843.0,938.0,7222.0,6833.0,5051.0,937.0,11490.0
2020-08-25,2457.0,18896.0,939.0,7265.0,6858.0,5080.0,946.0,11503.0
2020-08-26,2480.0,19068.0,950.0,7308.0,6911.0,5124.0,953.0,11530.0
2020-08-27,2504.0,19196.0,963.0,7359.0,6960.0,5165.0,963.0,11576.0
2020-08-28,2536.0,19380.0,972.0,7374.0,7005.0,5215.0,980.0,11610.0
2020-08-29,2536.0,19499.0,980.0,7430.0,7005.0,5265.0,986.0,11647.0
2020-08-30,2536.0,19573.0,989.0,7468.0,7005.0,5293.0,993.0,11650.0
2020-08-31,2612.0,19684.0,1000.0,7500.0,7085.0,5364.0,1002.0,11672.0
2020-09-01,2633.0,19730.0,1007.0,7556.0,7113.0,5396.0,1007.0,11689.0
2020-09-02,2651.0,19838.0,1018.0,7598.0,7146.0,5457.0,1016.0,11718.0
2020-09-03,2690.0,19934.0,1024.0,7667.0,7173.0,5492.0,1030.0,11735.0
2020-09-04,2717.0,20092.0,1032.0,7743.0,7204.0,5533.0,1034.0,11775.0
2020-09-05,2717.0,20184.0,1032.0,7786.0,7204.0,5533.0,1036.0,11808.0
2020-09-06,2717.0,20283.0,1049.0,7835.0,7204.0,5542.0,1043.0,11820.0
2020-09-07,2717.0,20339.0,1049.0,7874.0,7204.0,5542.0,1056.0,11820.0
2020-09-08,2799.0,20345.0,1053.0,7901.0,7304.0,5659.0,1060.0,11856.0
2020-09-09,2820.0,20459.0,1069.0,7936.0,7327.0,5687.0,1069.0,11880.0
2020-09-10,2855.0,20585.0,1077.0,7997.0,7363.0,5764.0,1079.0,11901.0
2020-09-11,2895.0,20718.0,1087.0,8037.0,7385.0,5764.0,1087.0,11920.0
2020-09-12,2895.0,20819.0,1100.0,8070.0,7385.0,5818.0,1094.0,11937.0
2020-09-13,2895.0,20887.0,1106.0,8122.0,7385.0,5831.0,1094.0,11945.0
2020-09-14,2971.0,20950.0,1105.0,8152.0,7510.0,5947.0,1096.0,11977.0
2020-09-15,3005.0,21032.0,1108.0,8183.0,7528.0,5985.0,1098.0,11995.0
2020-09-16,3028.0,21177.0,1112.0,8229.0,7555.0,6047.0,1108.0,12027.0
2020-09-17,3058.0,21215.0,1126.0,8257.0,7588.0,6120.0,1113.0,12052.0
2020-09-18,3077.0,21323.0,1132.0,8310.0,7616.0,6190.0,1122.0,12078.0
2020-09-19,3077.0,21418.0,1138.0,8362.0,7616.0,6190.0,1129.0,12109.0
2020-09-20,3077.0,21478.0,1142.0,8421.0,7616.0,6228.0,1135.0,12109.0
2020-09-21,3172.0,21552.0,1142.0,8478.0,7673.0,6418.0,1141.0,12135.0
2020-09-22,3208.0,21609.0,1149.0,8521.0,7697.0,6467.0,1144.0,12148.0
2020-09-23,3242.0,21696.0,1153.0,8571.0,7944.0,6589.0,1153.0,12179.0
2020-09-24,3268.0,21822.0,1159.0,8622.0,7955.0,6700.0,1170.0,12204.0
2020-09-25,3300.0,21915.0,1175.0,8677.0,8016.0,6808.0,1179.0,12216.0
2020-09-26,3300.0,22019.0,1194.0,8742.0,8016.0,6808.0,1197.0,12249.0
2020-09-27,3300.0,22137.0,1202.0,8806.0,8016.0,6808.0,1209.0,12249.0
2020-09-28,3427.0,22231.0,1214.0,8855.0,8100.0,6996.0,1225.0,12279.0
2020-09-29,3459.0,22282.0,1217.0,8904.0,8127.0,7057.0,1230.0,12306.0
2020-09-30,3476.0,22419.0,1223.0,8972.0,8173.0,7132.0,1253.0,12335.0
2020-10-01,3511.0,22579.0,1232.0,9021.0,8221.0,7242.0,1275.0,12349.0
2020-10-02,3550.0,22807.0,1255.0,9078.0,8283.0,7242.0,1301.0,12349.0
2020-10-03,3550.0,22960.0,1263.0,9144.0,8283.0,7261.0,1317.0,12388.0
2020-10-04,3550.0,23042.0,1279.0,9205.0,8283.0,7359.0,1330.0,12388.0
2020-10-05,3658.0,23168.0,1288.0,9248.0,8372.0,7416.0,1345.0,12419.0
2020-10-06,3690.0,23287.0,1301.0,9295.0,8435.0,7484.0,1354.0,12435.0
2020-10-07,3728.0,23438.0,1326.0,9372.0,8482.0,7730.0,1375.0,12455.0
2020-10-08,3778.0,23605.0,1338.0,9483.0,8525.0,7868.0,1390.0,12484.0
2020-10-09,3801.0,23755.0,1348.0,9560.0,8595.0,7960.0,1408.0,12499.0
2020-10-10,3801.0,23898.0,1357.0,9639.0,8595.0,7960.0,1421.0,12529.0
2020-10-11,3801.0,24072.0,1357.0,9740.0,8595.0,7960.0,1446.0,12529.0
2020-10-12,3958.0,24224.0,1357.0,9789.0,8813.0,7960.0,1467.0,12557.0
