date,Iowa,Minnesota,Montana,Nebraska,North Dakota,South Dakota,Wyoming,Meade
6/21/20,26020,32952,717,17810,3294,6297,1197,42
6/22/20,26217,33259,734,17957,3319,6326,1230,43
6/23/20,26470,33501,743,18091,3326,6353,1254,43
6/24/20,26897,33798,766,18220,3370,6419,1282,43
6/25/20,27384,34158,803,18346,3402,6479,1326,44
6/26/20,27828,34651,829,18524,3430,6535,1368,46
6/27/20,28203,35068,852,18775,3467,6626,1392,47
6/28/20,28520,35584,863,18900,3504,6681,1417,47
6/29/20,28874,35896,919,19064,3548,6716,1450,47
6/30/20,29152,36338,967,19194,3585,6764,1487,48
7/1/20,29618,36753,1016,19325,3624,6826,1514,49
7/2/20,30259,37247,1083,19476,3666,6893,1550,49
7/3/20,30631,37661,1128,19660,3731,6978,1582,50
7/4/20,31167,37661,1167,19826,3788,7028,1606,50
7/5/20,31612,38173,1212,19937,3825,7063,1634,51
7/6/20,31764,38606,1249,20052,3858,7105,1675,51
7/7/20,32153,39170,1327,20205,3903,7163,1711,52
7/8/20,32716,39627,1371,20437,3975,7242,1740,53
7/9/20,33316,40201,1466,20658,4074,7336,1774,53
7/10/20,34232,40805,1593,20834,4158,7401,1790,53
7/11/20,34695,41609,1677,21035,4247,7454,1839,53
7/12/20,35410,42319,1758,21214,4338,7499,1862,53
7/13/20,35631,42810,1908,21444,4446,7524,1903,54
7/14/20,35942,43208,2038,21717,4497,7572,1951,54
7/15/20,36536,43782,2149,21979,4569,7652,1985,54
7/16/20,37414,44387,2265,22178,4672,7694,2026,58
7/17/20,37903,45053,2383,22361,4796,7789,2069,58
7/18/20,38314,45510,2471,22545,4911,7862,2108,58
7/19/20,38813,46244,2533,22637,5023,7906,2126,58
7/20/20,39343,47147,2640,22847,5130,7943,2187,58
7/21/20,39721,47497,2741,23190,5211,8019,2238,59
7/22/20,40208,48001,2840,23486,5371,8077,2288,60
7/23/20,40796,48761,2924,23818,5497,8143,2347,63
7/24/20,41434,49528,3113,24174,5618,8200,2405,64
7/25/20,41886,50331,3260,24412,5740,8305,2446,63
7/26/20,42357,51193,3342,24618,5880,8395,2475,65
7/27/20,42696,51843,3406,24899,5990,8444,2520,67
7/28/20,42928,52321,3491,25140,6145,8492,2589,67
7/29/20,43623,52987,3695,25448,6231,8641,2628,68
7/30/20,44285,53732,3829,25766,6305,8685,2686,69
7/31/20,44753,54503,3977,26211,6473,8764,2726,71
8/1/20,45293,55228,4081,26391,6606,8867,2769,71
8/2/20,45723,55987,4193,26702,6664,8955,2808,74
8/3/20,45905,56600,4249,26956,6789,9020,2848,76
8/4/20,46231,57202,4360,27178,6937,9079,2884,78
8/5/20,46836,57820,4481,27489,7061,9168,2923,82
8/6/20,47559,58681,4621,27821,7181,9273,2958,82
8/7/20,47920,59226,4771,28104,7331,9371,3000,87
8/8/20,48311,60142,4889,28245,7512,9477,3013,91
8/9/20,48919,60939,4952,28432,7600,9605,3050,94
8/10/20,49164,61557,5032,28696,7717,9663,3042,94
8/11/20,49521,61880,5125,29030,7889,9713,3073,96
8/12/20,49973,62349,5292,29244,7974,9815,3086,97
8/13/20,50678,63039,5430,29660,8175,9897,3119,98
8/14/20,51272,63769,5564,29988,8326,10024,3183,97
8/15/20,52065,64459,5663,30241,8448,10118,3227,97
8/16/20,52447,65198,5751,30372,8591,10274,3286,104
8/17/20,52829,65762,5810,30563,8651,10360,3331,106
8/18/20,53201,66107,5867,30825,8786,10443,3360,112
8/19/20,53541,66664,5976,31040,8972,10566,3430,120
8/20/20,54533,67354,6095,31348,9246,10691,3468,127
8/21/20,55331,68179,6239,31626,9478,10884,3524,138
8/22/20,55996,68913,6392,31780,9740,11135,3543,152
8/23/20,56441,69630,6444,31889,9880,11276,3579,164
8/24/20,56941,70344,6510,32047,10004,11425,3603,170
8/25/20,57606,70753,6649,32379,10233,11559,3634,176
8/26/20,58864,71285,6807,32727,10471,11851,3684,179
8/27/20,61484,72439,6960,33101,10804,12194,3722,247
8/28/20,62828,73289,7086,33436,11114,12517,3763,261
8/29/20,63836,74306,7256,33753,11488,12942,3784,279
8/30/20,64599,75238,7340,34046,11706,13322,3820,294
8/31/20,65252,75913,7440,34287,11820,13509,3842,300
9/1/20,65846,76404,7526,34574,12004,13749,3866,305
9/2/20,66463,77137,7715,34995,12271,14003,3911,317
9/3/20,67693,78175,7903,35469,12633,14337,3939,324
9/4/20,68757,79018,8046,35661,12977,14596,3989,332
9/5/20,69690,79932,8178,35805,13338,14889,4006,338
9/6/20,70210,80639,8272,35891,13635,15109,4032,344
9/7/20,70537,81277,8340,35975,13805,15300,4032,348
9/8/20,71018,81660,8409,36477,13876,15403,4103,346
9/9/20,71594,81920,8499,36917,14114,15571,4151,348
9/10/20,72548,82301,8694,37373,14446,15834,4199,364
9/11/20,73399,82768,8817,37841,14687,16117,4264,371
9/12/20,74204,83640,8946,38108,15154,16437,4297,378
9/13/20,74675,84363,9037,38188,15580,16638,4346,384
9/14/20,75069,85001,9164,38642,15834,16801,4392,392
9/15/20,75722,85403,9281,38970,16067,16994,4438,405
9/16/20,76652,85865,9487,39419,16336,17291,4566,416
