date,,Alabama,Alaska,Arizona,Arkansas,Florida,Georgia,Idaho,Indiana,Iowa,Kansas,Kentucky,Louisiana,Michigan,Mississippi,Missouri,Montana,Nebraska,North Carolina,North Dakota,Ohio,Oklahoma,Pennsylvania,South Carolina,South Dakota,Tennessee,Texas,Utah,West Virginia,Wisconsin,Wyoming
3/11/20,242,,,9,1,26,31,,11,14,1,7,13,2,1,1,,23,8,1,4,2,16,10,8,8,33,5,,6,1
3/12/20,331,,1,9,6,46,31,,12,16,5,11,14,12,1,2,,24,16,1,5,2,22,12,8,18,41,7,,8,1
3/13/20,493,6,1,9,7,70,41,1,12,17,6,11,36,25,6,4,4,27,18,1,13,3,41,13,9,26,58,7,,19,2
3/14/20,672,12,1,12,9,70,65,5,15,18,8,18,77,33,6,5,6,29,25,1,26,4,47,19,9,32,69,21,,27,3
3/15/20,910,23,1,13,16,109,97,5,19,22,9,21,103,53,10,5,6,31,32,1,37,8,68,28,9,39,80,29,,33,3
3/16/20,"1,123",29,3,18,22,141,118,5,24,22,11,22,137,54,12,9,8,33,34,1,50,10,81,33,10,52,87,40,,47,10
3/17/20,"1,501",39,6,20,22,210,142,9,30,29,17,26,196,65,21,16,8,36,42,5,67,18,101,47,11,73,106,51,1,72,15
3/18/20,"2,111",51,9,28,33,326,193,11,39,38,22,35,280,80,34,21,12,43,66,7,90,29,139,60,11,98,166,65,2,106,17
3/19/20,"3,227",78,12,47,62,434,282,23,56,44,35,47,392,334,50,35,19,47,104,19,120,44,187,81,14,155,248,80,5,155,18
3/20/20,"4,694",106,14,70,100,564,482,31,81,45,49,63,537,548,80,73,19,53,144,27,169,49,269,126,14,237,386,112,8,216,22
