date,California,Florida,Illinois,Indiana,Maryland,Massachusetts,Nevada,New York,North Carolina,Oregon,Pennsylvania,Washington,CAN,GBR,ITA,0
2020-04-28,46570.0,32838.0,48102.0,16783.0,20200.0,58302.0,4812.0,300276.0,9568.0,2385.0,45323.0,14165.0,51150.0,168357.0,201505.0,34446.0
2020-04-29,48904.0,33185.0,50355.0,17409.0,20942.0,60265.0,4934.0,304994.0,9947.0,2446.0,46191.0,14490.0,52865.0,173807.0,203591.0,36495.0
2020-04-30,50470.0,33683.0,52918.0,18099.0,21825.0,62205.0,5053.0,309696.0,10507.0,2510.0,48224.0,14814.0,54457.0,178771.0,205463.0,37777.0
2020-05-01,52318.0,34720.0,56055.0,18941.0,23566.0,64311.0,5249.0,313575.0,10922.0,2579.0,49764.0,15134.0,56343.0,183501.0,207428.0,39312.0
2020-05-02,53753.0,35455.0,58505.0,19629.0,24568.0,66263.0,5390.0,318134.0,11514.0,2635.0,51071.0,15383.0,57926.0,186731.0,209328.0,40398.0
2020-05-03,55072.0,36070.0,61499.0,20267.0,25561.0,68087.0,5473.0,321833.0,11668.0,2680.0,52079.0,15943.0,60504.0,189708.0,210717.0,41434.0
2020-05-04,56333.0,36889.0,63840.0,20855.0,26509.0,69087.0,5627.0,324357.0,11871.0,2759.0,52992.0,16047.0,61957.0,193091.0,211938.0,42410.0
2020-05-05,58848.0,37431.0,65889.0,21423.0,27217.0,70271.0,5665.0,326659.0,12283.0,2839.0,53967.0,16234.0,63215.0,196780.0,213013.0,44542.0
2020-05-06,60787.0,37994.0,68164.0,22286.0,28263.0,72025.0,5744.0,329405.0,12783.0,2916.0,54989.0,16873.0,64694.0,200616.0,214457.0,46103.0
2020-05-07,62481.0,38820.0,70802.0,22942.0,29476.0,73721.0,5858.0,332931.0,13431.0,2989.0,56149.0,17187.0,66201.0,204387.0,215858.0,47545.0
2020-05-08,64616.0,39191.0,73688.0,23620.0,30592.0,75333.0,5942.0,335804.0,13879.0,3068.0,57501.0,17477.0,67674.0,207439.0,217185.0,49334.0
2020-05-09,66824.0,39993.0,76008.0,24239.0,31638.0,76743.0,6046.0,338519.0,14387.0,3160.0,58661.0,17629.0,68918.0,209589.0,218268.0,51205.0
2020-05-10,68051.0,40588.0,77662.0,24633.0,32693.0,77793.0,6120.0,340657.0,14783.0,3228.0,60037.0,17781.0,70091.0,211911.0,219070.0,52158.0
2020-05-11,69514.0,40974.0,79123.0,25134.0,33483.0,78462.0,6152.0,342267.0,15069.0,3286.0,60557.0,18172.0,71264.0,215500.0,219814.0,53359.0
2020-05-12,71150.0,41915.0,83168.0,25676.0,34174.0,79332.0,6311.0,343705.0,15402.0,3359.0,61407.0,18382.0,72419.0,218895.0,221216.0,54660.0
2020-05-13,73218.0,42394.0,84874.0,26044.0,34927.0,80497.0,6482.0,345828.0,15850.0,3416.0,62194.0,18492.0,73568.0,222195.0,222104.0,56452.0
2020-05-14,74947.0,43202.0,88081.0,26627.0,36021.0,82182.0,6604.0,348192.0,16593.0,3479.0,63158.0,18861.0,74781.0,224813.0,223096.0,57922.0
2020-05-15,77015.0,44130.0,90528.0,27281.0,37105.0,83421.0,6733.0,350951.0,17190.0,3541.0,64178.0,19131.0,75959.0,227334.0,223885.0,59557.0
2020-05-16,78933.0,44803.0,92669.0,27919.0,38083.0,84933.0,6810.0,353136.0,18009.0,3612.0,65228.0,19336.0,77206.0,229406.0,224760.0,61103.0
2020-05-17,80366.0,45580.0,94360.0,28419.0,38920.0,86010.0,6935.0,355037.0,18537.0,3623.0,65745.0,19514.0,78332.0,231232.0,225435.0,62248.0
2020-05-18,81943.0,46434.0,96778.0,28897.0,39882.0,87052.0,7059.0,356278.0,19121.0,3687.0,66676.0,19756.0,79411.0,233809.0,225886.0,63482.0
2020-05-19,83981.0,46936.0,98298.0,29402.0,41664.0,87925.0,7169.0,357757.0,19762.0,3726.0,67404.0,19988.0,80493.0,236867.0,226699.0,65084.0
2020-05-20,86125.0,47463.0,100713.0,29986.0,42442.0,88970.0,7301.0,359235.0,20221.0,3801.0,68151.0,20110.0,81575.0,239579.0,227364.0,67043.0
2020-05-21,88488.0,48667.0,102995.0,30673.0,43645.0,90084.0,7404.0,361313.0,20934.0,3817.0,69252.0,20280.0,82742.0,242133.0,228006.0,69005.0
2020-05-22,90801.0,49443.0,105710.0,31165.0,44539.0,90889.0,7531.0,362991.0,21661.0,3864.0,70305.0,20526.0,83947.0,244174.0,228658.0,70693.0
2020-05-23,92815.0,50119.0,108100.0,31674.0,45608.0,91662.0,7769.0,364745.0,22731.0,3888.0,71102.0,20740.0,85151.0,245682.0,229327.0,72344.0
2020-05-24,94743.0,50859.0,110541.0,32151.0,46919.0,92675.0,7886.0,366346.0,23231.0,3927.0,71656.0,20989.0,86106.0,247037.0,229858.0,73819.0
2020-05-25,97017.0,51738.0,112248.0,32489.0,47754.0,93271.0,7959.0,367625.0,23997.0,3949.0,72356.0,21265.0,87119.0,248650.0,230158.0,75780.0
2020-05-26,99924.0,52247.0,113486.0,32856.0,48290.0,93693.0,8059.0,368669.0,24188.0,3968.0,72873.0,21538.0,88090.0,250309.0,230555.0,78213.0
2020-05-27,101873.0,52626.0,114612.0,33242.0,49042.0,94220.0,8150.0,369801.0,24787.0,4041.0,73646.0,21825.0,88989.0,252118.0,231139.0,79735.0
2020-05-28,104071.0,53277.0,116128.0,33885.0,50334.0,94895.0,8247.0,371559.0,25616.0,4087.0,74312.0,22091.0,89976.0,253854.0,231732.0,81565.0
2020-05-29,107043.0,54489.0,117794.0,34399.0,51631.0,95512.0,8375.0,373108.0,26735.0,4133.0,75073.0,22377.0,90909.0,255362.0,232248.0,84144.0
2020-05-30,110100.0,55416.0,119290.0,35064.0,52662.0,96301.0,8519.0,374471.0,27761.0,4185.0,75789.0,22618.0,91681.0,256469.0,232664.0,86769.0
2020-05-31,113114.0,56155.0,120588.0,35429.0,53456.0,96965.0,8628.0,375575.0,28686.0,4243.0,76218.0,22814.0,92479.0,257539.0,232997.0,89029.0
